FMS_BBFY,FMS_EBFY,FMS_FUND,FMS_NAME,FMS_COST_CENTER,IFAMS_PARTITION,IFAMS_BBFY,IFAMS_EBFY,IFAMS_FUND,IFAMS_FUND_LONG,IFAMS_CATB_PROG,IFAMS_CATB_PROG_NM,GP_SP_PURPOSE_CD,GP_GS_PURPOSE_NM,LOAD_DATE
19,,6501E,ESCROW ADAPTIVE Hous GRANTS,*,NCA,2019,,6501DP,ESCROW SUSPENSE - TRANSIT,,,,,
19,,6501P,NON-APPR DEPOSIT FUND,*,NCA,2019,,6501DP,ESCROW SUSPENSE - TRANSIT,,,,,
19,,0151A1,GOE - CAT A - LMT 01,*,VBA,2019,,0151ADD,"Gen Operating Exp, VBA, Ann, Dir, Disc",,,GP,General Purpose,
19,20,0151B2,GOE MULTI-YEAR,*,VBA,2019,2020,0151MDD,"Gen Operating Exp, VBA, Multiyr, Dir, Disc ",,,GP,General Purpose,
19,,0151R1,RMB GOE - CAT A - LMT 01,*,VBA,2019,,0151ARD,"Gen Operating Exp, VBA, Ann, Reim, Disc",,,GP,General Purpose,
19,,0151R1,RMB GOE - CAT A - LMT 01,304000,VBA,2019,,0151ARDB,"Gen Operating Exp, VBA, Ann, Reim, Disc, Cat B",CONTRACTMED,Contract Medical Exams,GP,General Purpose,
19,,0151R1,RMB GOE - CAT A - LMT 01,305000,VBA,2019,,0151ARDB,"Gen Operating Exp, VBA, Ann, Reim, Disc, Cat B",CREDITADMIN,Credit Administration,GP,General Purpose,
19,,0151R1,RMB GOE - CAT A - LMT 01,306100,VBA,2019,,0151ARDB,"Gen Operating Exp, VBA, Ann, Reim, Disc, Cat B",INSURANCERESERV,Insurance Reserves,GP,General Purpose,
19,,0151R1,RMB GOE - CAT A - LMT 01,304300,VBA,2019,,0151ARDB,"Gen Operating Exp, VBA, Ann, Reim, Disc, Cat B",OBRA,OBRA,GP,General Purpose,
19,,6278,ALL OTH PAYROLL WITHOLDING VA,*,VBA,2019,,6278DP,"All Other Payroll Withholdings, Vet Affairs",,,GP,General Purpose,
19,,6279,DEDUCTION Vet BenS VA,*,VBA,2019,,6279DP,"Deductions from Vet Bens Payments, Vet Affairs",,,GP,General Purpose,
19,,6501,ESCROW SUSPENSE - TRANSIT,*,VBA,2019,,6501DP,ESCROW SUSPENSE - TRANSIT,,,GP,General Purpose,
00,,0183,GRANT FOR StS-Cem,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
01,,0183,GRANT FOR StS-Cem,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
02,,0183,GRANT FOR StS-Cem,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
03,,0183,GRANT FOR StS-Cem,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
04,,0183,GRANT FOR StS-Cem,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
05,,539201,LEASE OF LAND & BLDGS - NCA,*,NCA,2020,,5392XDMB001,"NCA Facilities Operation Fund, No Year, Direct, Mandatory., Category B - Sub Account 001",NATCEMFACOPS,National Cemetery Facilities Operation,,,
05,,0183,GRANT FOR StS-Cem,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
06,,0183,GRANT FOR StS-Cem,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
07,,0183,GRANT FOR StS-Cem,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
07,,0151X5,EMERGNCY APPROP GOE,*,VBA,2020,,0151XDD,"Gen Operating Exp, VBA, No Yr, Dir, Disc, Cat B",,,GP,General Purpose,
08,,0183,GRANT FOR StS-Cem,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
08,,0183XE,GRANT FOR StS-CEM EMER FUND,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
09,,0183,GRANT FOR StS-Cem,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
10,,0183,GRANT FOR StS-Cem,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
10,,0183XE,GRANT FOR StS-CEM EMER FUND,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
11,,0183,GRANT FOR StS-Cem,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
12,,0183,GRANT FOR StS-Cem,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
13,,0183,GRANT FOR StS-Cem,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
14,,0183,GRANT FOR StS-Cem,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
14,,0183XE,GRANT FOR StS-CEM EMER FUND,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
15,,0183,GRANT FOR StS-Cem,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
16,,0183,GRANT FOR StS-Cem,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
17,,0183,GRANT FOR StS-Cem,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
18,,0183,GRANT FOR StS-Cem,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
18,,0183XE,GRANT FOR StS-CEM EMER FUND,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
19,,0183,GRANT FOR StS-Cem,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
20,,1435,PROPRIET INTEREST NOT CLASS,*,NCA,2020,,1435RC,PROPRIET INTEREST NOT CLASS,,,,,
20,,3220,PROPRIETARY RECEIPTS,*,NCA,2020,,3220CU,PROPRIETARY RECEIPTS,,,,,
20,,3845,"PROCEEDS OF SALES, PERS PROP",*,NCA,2020,,3845CL,"PROCEEDS OF SALES, PERS PROP",,,,,
20,,3875,SUSPENSE,*,NCA,2020,,3875CL,BUDGET CLEARING ACCT,,,,,
20,,3880,NON-APPR CLEARING/IN TRANSIT  ,*,NCA,2020,,3880CL001,BUD CLEARING ACCTS - RECERTIF - Sub Acct 001,,,,,
20,,3885,NON-APPR CLEARING/IN TRANSIT  ,*,NCA,2020,,3885CL,UNDIST INTERGOVT PMTS-SUSPENSE,,,,,
20,,6278,ALL OTH PAYROLL WITHOLDING VA,*,NCA,2020,,6278DP,"All Other Payroll Withholdings, Vet Affairs",,,,,
20,,6501,ESCROW SUSPENSE - TRANSIT,*,NCA,2020,,6501DP,ESCROW SUSPENSE - TRANSIT,,,,,
20,,0129A1,NATIONAL CEMETERY SYSTEM LMT1,*,NCA,2020,,0129ADD,"NCA, Annual, Direct, Discretionary ",,,,,
20,21,0129B1,NATIONAL CEMETERY SYSTEM LMT1,*,NCA,2020,2021,0129MDD,"NCA, Multi Year, Direct, Discretionary",,,,,
20,,0129R1,RMB NATLCEMSYSTEM - LMT 01 T1,*,NCA,2020,,0129ARD,"NCA, Annual, Reimbursable, Discretionary",,,,,
20,,0183,GRANT FOR StS-Cem,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
20,,0183XE,GRANT FOR StS-CEM EMER FUND,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
20,,3220P,PROPRIETARY RECEIPTS-VTSNET,*,NCA,2020,,3220CU,PROPRIETARY RECEIPTS,,,,,
20,,3875L,NON-APPR CLEARING/IN TRANSIT  ,*,NCA,2020,,3875CL,BUDGET CLEARING ACCT,,,,,
20,,3875P,NON-APPR VBA-CP&E BENE SYS    ,*,NCA,2020,,3875CL,BUDGET CLEARING ACCT,,,,,
20,,3875V,NON-APPR VBA-CP&E BENE SYS    ,*,NCA,2020,,3875CL,BUDGET CLEARING ACCT,,,,,
20,,3880V,NON-APPR VBA-CP&E BENE SYS    ,*,NCA,2020,,3880CL000,BUD CLEARING ACCTS - RECERTIF - Sub Acct 000,,,,,
20,,6501E,ESCROW ADAPTIVE Hous GRANTS,*,NCA,2020,,6501DP,ESCROW SUSPENSE - TRANSIT,,,,,
20,,6501P,NON-APPR DEPOSIT FUND,*,NCA,2020,,6501DP,ESCROW SUSPENSE - TRANSIT,,,,,
20,,0151A1,GOE - CAT A - LMT 01,*,VBA,2020,,0151ADD,"Gen Operating Exp, VBA, Ann, Dir, Disc",,,GP,General Purpose,
20,21,0151B2,GOE MULTI-YEAR,*,VBA,2020,2021,0151MDD,"Gen Operating Exp, VBA, Multiyr, Dir, Disc ",,,GP,General Purpose,
20,,0151R1,RMB GOE - CAT A - LMT 01,*,VBA,2020,,0151ARD,"Gen Operating Exp, VBA, Ann, Reim, Disc",,,GP,General Purpose,
20,,0151R1,RMB GOE - CAT A - LMT 01,304000,VBA,2020,,0151ARDB,"Gen Operating Exp, VBA, Ann, Reim, Disc, Cat B",CONTRACTMED,Contract Medical Exams,GP,General Purpose,
20,,0151R1,RMB GOE - CAT A - LMT 01,305000,VBA,2020,,0151ARDB,"Gen Operating Exp, VBA, Ann, Reim, Disc, Cat B",CREDITADMIN,Credit Administration,GP,General Purpose,
20,,0151R1,RMB GOE - CAT A - LMT 01,306100,VBA,2020,,0151ARDB,"Gen Operating Exp, VBA, Ann, Reim, Disc, Cat B",INSURANCERESERV,Insurance Reserves,GP,General Purpose,
20,,0151R1,RMB GOE - CAT A - LMT 01,304300,VBA,2020,,0151ARDB,"Gen Operating Exp, VBA, Ann, Reim, Disc, Cat B",OBRA,OBRA,GP,General Purpose,
20,,3845,"PROCEEDS OF SALES, PERS PROP",*,VBA,2020,,3845CL,"PROCEEDS OF SALES, PERS PROP",,,GP,General Purpose,
20,,3875,SUSPENSE,*,VBA,2020,,3875CL,BUDGET CLEARING ACCT,,,GP,General Purpose,
20,,3885,UNDIST INTERGOVT PMTS-SUSPENSE,*,VBA,2020,,3885CL,UNDIST INTERGOVT PMTS-SUSPENSE,,,GP,General Purpose,
20,,6278,ALL OTH PAYROLL WITHOLDING VA,*,VBA,2020,,6278DP,"All Other Payroll Withholdings, Vet Affairs",,,GP,General Purpose,
20,,6279,DEDUCTION Vet BenS VA,*,VBA,2020,,6279DP,"Deductions from Vet Bens Payments, Vet Affairs",,,GP,General Purpose,
20,,6501,ESCROW SUSPENSE - TRANSIT,*,VBA,2020,,6501DP,ESCROW SUSPENSE - TRANSIT,,,GP,General Purpose,
94,,5392,NCA Fac OPERATION FUND,*,NCA,2020,,5392XDMB,"NCA Facilities Operation Fund, No Year, Direct, Mandatory., Category B",NATCEMFACOPS,National Cemetery Facilities Operation,,,
94,,0129X2,RECYCLING INCOME-NCS,*,NCA,2020,,0129XPDB,"NCA, No Year, Proceeds, Discretionary, Category B",RPPL103329,Recycling Proceeds (P.L.103-329),,,
94,,8129G,NATL CEMETERY GIFT FUND-GENL,*,NCA,2020,,8129XDMB,"VA Cemetery Gift Fund, No Year, Direct, Mandatory, Category B",NATCEMGFBI,National Cemetery Gift Fund-Beautification and Improvements,GP,General Purpose,
94,,8129S,NATL CEMETERY GIFT FUND-SPEC,*,NCA,2020,,8129XDMB,"VA Cemetery Gift Fund, No Year, Direct, Mandatory, Category B",NATCEMGFBI,National Cemetery Gift Fund-Beautification and Improvements,SP,Specific Purpose,
94,,0151X1,GOE - 9/11 EMERG EXP,*,VBA,2020,,0151XDD,"Gen Operating Exp, VBA, No Yr, Dir, Disc, Cat B",,,GP,General Purpose,
94,,0151X2,RECYCLING INCOME-VBA,*,VBA,2020,,0151XPDB,"Gen Operating Exp, VBA, No Yr, Pro, Disc, Cat B",RPPL103329,Recycling Proceeds   (P.L. 103-329),GP,General Purpose,
95,,AMAF,ASSETS & MISC ACCTS FUND,*,VBA,2020,,0151CA,"Gen Operating Exp, VBA, C Fund",,,GP,General Purpose,
95,,AMAFGE,AMAF FRANCHISE FUND,*,VBA,2020,,0151CA,"Gen Operating Exp, VBA, C Fund",,,GP,General Purpose,
97,,0183,GRANT FOR StS-Cem,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
98,,0183,GRANT FOR StS-Cem,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
99,,0183,GRANT FOR StS-Cem,*,NCA,2020,,0183XDDB,"Grants for the Construction of State Veteran Cemetery, No Year, Direct, Discretionary, Category B",ANNBASISTTL,Total Annual Basis,,,
21,,1435,PROPRIET INTEREST NOT CLASS,*,NCA,2021,,1435RC,PROPRIET INTEREST NOT CLASS,,,,,
21,,3220,PROPRIETARY RECEIPTS,*,NCA,2021,,3220CU,PROPRIETARY RECEIPTS,,,,,
21,,3845,"PROCEEDS OF SALES, PERS PROP",*,NCA,2021,,3845CL,"PROCEEDS OF SALES, PERS PROP",,,,,
21,,3875,SUSPENSE,*,NCA,2021,,3875CL,BUDGET CLEARING ACCT,,,,,
21,,3880,NON-APPR CLEARING/IN TRANSIT  ,*,NCA,2021,,3880CL001,BUD CLEARING ACCTS - RECERTIF - Sub Acct 001,,,,,
21,,3885,NON-APPR CLEARING/IN TRANSIT  ,*,NCA,2021,,3885CL,UNDIST INTERGOVT PMTS-SUSPENSE,,,,,
21,,6278,ALL OTH PAYROLL WITHOLDING VA,*,NCA,2021,,6278DP,"All Other Payroll Withholdings, Vet Affairs",,,,,
21,,6501,ESCROW SUSPENSE - TRANSIT,*,NCA,2021,,6501DP,ESCROW SUSPENSE - TRANSIT,,,,,
21,,0129A1,NATIONAL CEMETERY SYSTEM LMT1,*,NCA,2021,,0129ADD,"NCA, Annual, Direct, Discretionary ",,,,,
21,22,0129B1,NATIONAL CEMETERY SYSTEM LMT1,*,NCA,2021,2022,0129MDD,"NCA, Multi Year, Direct, Discretionary",,,,,
21,,0129R1,RMB NATLCEMSYSTEM - LMT 01 T1,*,NCA,2021,,0129ARD,"NCA, Annual, Reimbursable, Discretionary",,,,,
21,,3220P,PROPRIETARY RECEIPTS-VTSNET,*,NCA,2021,,3220CU,PROPRIETARY RECEIPTS,,,,,
21,,3875L,NON-APPR CLEARING/IN TRANSIT  ,*,NCA,2021,,3875CL,BUDGET CLEARING ACCT,,,,,
21,,3875P,NON-APPR VBA-CP&E BENE SYS    ,*,NCA,2021,,3875CL,BUDGET CLEARING ACCT,,,,,
21,,3875V,NON-APPR VBA-CP&E BENE SYS    ,*,NCA,2021,,3875CL,BUDGET CLEARING ACCT,,,,,
21,,3880V,NON-APPR VBA-CP&E BENE SYS    ,*,NCA,2021,,3880CL000,BUD CLEARING ACCTS - RECERTIF - Sub Acct 000,,,,,
21,,6501E,ESCROW ADAPTIVE Hous GRANTS,*,NCA,2021,,6501DP,ESCROW SUSPENSE - TRANSIT,,,,,
21,,6501P,NON-APPR DEPOSIT FUND,*,NCA,2021,,6501DP,ESCROW SUSPENSE - TRANSIT,,,,,
