FMS_STATION,FMS_STATION_NAME,FMS_COST_CENTER,FMS_COST_CENTER_NAME,IFAMS_PARTITION,IFAMS_DIVISION_CODE,IFAMS_DIVISION_CODE_NAME,IFAMS_INTERNAL_ORG_CODE,IFAMS_INTERNAL_ORG_CODE_NAME,IFAMS_LOCATION_CODE,IFAMS_LOCATION_CODE_NAME,LOAD_DATE
961,BENICIA POST NATL CEM VANC,Any,Any,NCA,C0921000,Sacramento Valley National Cemetery,C09610000,Benicia Post National Cemetery,204200001-00,810 Vermont Ave NW,
971,MOROVIS NATIONAL CEMETERY,Any,Any,NCA,C0871000,Puerto Rico National Cemetery,C09710000,Morovis National Cemetery,006870000-00,900 Carretera 137,
Any,Any,511100,NCA-OFC OF US FOR MEMORIAL AFF,NCA,C5111000,Office of Under Secretary for Memorial Affairs,C51110000,Office of Under Secretary for Memorial Affairs,204200001-00,810 Vermont Ave NW,
Any,Any,511200,NCA ADVISORY COMMITTEE ON CEMETERIES AND MEMORIALS,NCA,C5111000,Office of Under Secretary for Memorial Affairs,C51110000,Office of Under Secretary for Memorial Affairs,204200001-00,810 Vermont Ave NW,
Any,Any,511300,NCA-OFC DEP UND SEC FOR MEM AF,NCA,C5111000,Office of Under Secretary for Memorial Affairs,C51110000,Office of Under Secretary for Memorial Affairs,204200001-00,810 Vermont Ave NW,
Any,Any,511400,NCA-ENGAGEMENT & MEM INNOV,NCA,C5114000,Engagement and Memorial Innovation,C51140000,Engagement&Memorial Innovation,200025049-00,1100 1st St NE,
Any,Any,511500,NCA CHIEF OF STAFF,NCA,C5115000,Chief of Staff,C51150000,Chief of Staff,204200001-00,810 Vermont Ave NW,
Any,Any,511600,NCA-PARTNERSHIPS AND OUTREACH,NCA,C5116000,Communications and Outreach,C51160000,Communications and Outreach,200025049-00,1100 1st St NE,
Any,Any,512600,NCA-PUBLIC AFFAIRS,NCA,C5116000,Communications and Outreach,C51160000,Communications and Outreach,200025049-00,1100 1st St NE,
Any,Any,511700,NCA-DIGITAL SERVICE,NCA,C5117000,Digital Service,C51170000,Digital Service,200050000-00,1575 I St NW,
Any,Any,511800,NCA- VETERANS LEGACY PROGRAM,NCA,C5118000,Veterans Legacy Program Office,C51180000,Veterans Legacy Program Office,200025049-00,1100 1st St NE,
Any,Any,511900,NCA-HISTORY,NCA,C5119000,History ,C51190000,History,200012542-00,425 I St NW,
Any,Any,512000,NCA - DUS OFFICE OF MANAGEMENT,NCA,C5120000,Office of Deputy Under Secretary for Management,C51200000,Office of Deputy Under Secretary for Management,204200001-00,810 Vermont Ave NW,
Any,Any,512200,OFFICE OF FINANCE/PLANNING CFO,NCA,C5122000,Office of Deputy Under Secretary for Finance and Planning,C51220000,Office of Deputy Under Secretary for Finance&Planning,204200001-00,810 Vermont Ave NW,
Any,Any,512400,NCA-STRATEGIC COMMUNICATIONS,NCA,C5124000,Congressional Affairs and Correspondence,C51240000,Congressional Affairs and Correspondence,204200001-00,810 Vermont Ave NW,
Any,Any,512500,NCA-EXECUTIVE CORRESPONDENCE,NCA,C5125000,Strategic Communications,C51250000,Executive Correspondence,204200001-00,810 Vermont Ave NW,
Any,Any,512700,"NCA-TRANSF, TECH AND DATA MGMT",NCA,C5127000,Business Transformation and Requirements Service,C51270000,Business Transformation&Requirements Service,200050000-00,1575 I St NW,
Any,Any,513100,NCA-ADMIN AND BUSINESS SUPPORT,NCA,C5127000,Business Transformation and Requirements Service,C51270000,Business Transformation&Requirements Service,200050000-00,1575 I St NW,
Any,Any,512800,NCA-HUMAN CAPITAL MANAGEMENT,NCA,C5128000,Office of Executive Director of Human Capital Management,C51280000,Office of Executive Director of Human Capital Management,204200001-00,810 Vermont Ave NW,
Any,Any,512900,NCA-HCM TRAIN AND WKFORCE DEV,NCA,C5129000,Training and Safety,C51290000,Training&Safety,200025049-00,1100 1st St NE,
Any,Any,513000,NCA-HCM POLICY AND PROGRAMS,NCA,C5130000,Human Capital Management Policy and Programs Office,C51300000,Human Capital Management Policy&Programs Office,204200001-00,810 Vermont Ave NW,
Any,Any,515000,NCA REASONABLE ACCOMMODATIONS,NCA,C5130000,Human Capital Management Policy and Programs Office,C51300000,Human Capital Management Policy&Programs Office,204200001-00,810 Vermont Ave NW,
Any,Any,513200,NCA OFC OF CEMETERY OPS,NCA,C5132000,Office of Executive Director of Cemetery Operations,C51320000,Office of Executive Director of Cemetery Ops,204200001-00,810 Vermont Ave NW,
Any,Any,513300,NCA-DESIGN AND CONSTRUCTION,NCA,C5133000,Design & Construction Service,C51330000,Design & Construction Service,200012542-00,425 I St NW,
Any,Any,513400,NCA-STATE CEMETERY GRANTS SVC,NCA,C5134000,Veterans Cemetery Grant Program Office,C51340000,Veterans Cemetery Grant Program Office,204200001-00,810 Vermont Ave NW,
Any,Any,513500,NCA-DUS FIELD PROG & CEM OPS,NCA,C5135000,Office of Deputy Under Secretary for Field Programs and Cemetery Operations,C51350000,Office of Deputy Under Secretary for Field Prog&Cemetery Ops,204200001-00,810 Vermont Ave NW,
Any,Any,513600,NCA-CEM DEV & IMPROV SERVICE,NCA,C5136000,Cemetery Development and Improvement Service,C51360000,Cemetery Development&Improvement Service,462041563-00,575 N Pennsylvania St,
Any,Any,513800,NCA OPERATIONS MANAGEMENT,NCA,C5138000,Operations Management,C51380000,Operations Management,204200001-00,810 Vermont Ave NW,
Any,Any,513900,NCA OPERATIONS CENTER,NCA,C5139000,Integrated Operations Center,C51390000,Integrated Operations Center,204200001-00,810 Vermont Ave NW,
Any,Any,514100,NCA-POLICY & PLANNING SERVICE,NCA,C5141000,Policy & Planning Service,C51410000,Policy & Planning Service,200050000-00,1575 I St NW,
Any,Any,514200,NCA-BUDGET SERVICE,NCA,C5142000,Budget Service,C51420000,Budget Service,204200001-00,810 Vermont Ave NW,
Any,Any,514300,NCA-CAPITAL & PERF BUDGETING,NCA,C5143000,Budget Formulation Division,C51430000,Budget Formulation Division,204200001-00,810 Vermont Ave NW,
Any,Any,514400,NCA-BUDGET OPER & FIELD SPPT,NCA,C5144000,Budget Execution Division,C51440000,Budget Execution Division,204200001-00,810 Vermont Ave NW,
Any,Any,514500,NCA-BUSINESS PRO IMPR & COMP,NCA,C5145000,Business Process Improvement and Compliance Service,C51450000,Business Process Improvement&Compliance Service,204200001-00,810 Vermont Ave NW,
Any,Any,514600,NCA-LEGISLATIVE & REGULATORY,NCA,C5146000,Legislative and Regulatory Service,C51460000,Legislative&Regulatory Service,204200001-00,810 Vermont Ave NW,
Any,Any,540000,NCA- CONTRACTING / DIR,NCA,C5400000,Contracting Service,C54000000,Contracting Service,200012542-00,425 I St NW,
Any,Any,540100,NCA-CONTRACTING STAFFORD,NCA,C5401000,"Contracting (Stafford, VA)",C54010000,"Contracting (Stafford, VA)",225568045-00,75 Barrett Heights Rd,
Any,Any,540200,NCA-CONTRACTING WASH DC,NCA,C5402000,"Contracting  (Washington, D.C.)",C54020000,"Contracting  (Washington, D.C.)",225568045-00,75 Barrett Heights Rd,
Any,Any,540300,NCA-FINANCE DIVISION,NCA,C5403000,Finance Service,C54030000,Finance Service,225568045-00,75 Barrett Heights Rd,
Any,Any,540400,NCA-ACCOUNTING OPERATIONS DIV,NCA,C5404000,Financial Operations Division,C54040000,Financial Operations Division,225568045-00,75 Barrett Heights Rd,
Any,Any,540500,NCA-ACCOUNTABILITY DIVISION,NCA,C5405000,Financial Accountability Division,C54050000,Financial Accountability Division,225568045-00,75 Barrett Heights Rd,
Any,Any,540600,NCA QUANTICO IT CENTER,NCA,C5127000,Business Transformation and Requirements Service,C51270000,Business Transformation&Requirements Service,200050000-00,1575 I St NW,
Any,Any,550100,NCA OFC OF FIELD PROGRAMS,NCA,C5501000,Office of Executive Director of Field Programs,C55010000,Office of Executive Director of Field Programs,200050000-00,1575 I St NW,
Any,Any,550200,NCA APPLICANT ASSISTANCE,NCA,C5502000,Applicant Assistance,C55020000,Applicant Assistance,200050000-00,1575 I St NW,
Any,Any,550400,NCA MEMORIAL PRODUCTS SVS,NCA,C5504000,Memorial Products Service,C55040000,Memorial Products Service,200050000-00,1575 I St NW,
Any,Any,550500,MPS PRESIDENTL MEM CERTS PMC,NCA,C5505000,Presidential Memorial Certificates,C55050000,Presidential Memorial Certificates,200050000-00,1575 I St NW,
Any,Any,550600,MPS HEADSTONES & MARKERS,NCA,C5506000,Headstones and Markers ,C55060000,Headstones&Markers,200050000-00,1575 I St NW,
Any,Any,551000,MPS PROCSSNG SITE NASHVILLE TN,NCA,C5510000,"MPS Processing Site (Nashville, TN)",C55100000,"MPS Processing Site (Nashville, TN)",372281346-00,220 Athens Way Ste 102,
Any,Any,551100,MPS PROCSSING SITE  ALNC IL,NCA,C5511000,"MPS Processing Site (Abraham Lincoln NC, IL)",C55110000,"MPS Processing Site (Abraham Lincoln NC, IL)",604219309-00,20953 W Hoff Rd,
Any,Any,551200,MPS PROCSS SITE FT LEVNWRTH KS,NCA,C5512000,"MPS Processing Site (Fort Leavenworth, KS)",C55120000,"MPS Processing Site (Fort Leavenworth, KS)",660272307-00,395 Biddle Blvd,
Any,Any,551300,NCA CENTRALIZED APPEALS,NCA,C5513000,Centralized Appeals,C55130000,Centralized Appeals,631291526-00,4850 Lemay Ferry Rd,
Any,Any,560100,NCA MEM SVC NETWRK I-PHIL PA,NCA,C5601000,NCA District Office - Philadelphia,C56010000,NCA District Office - Philadelphia,191444867-00,5000 Wissahickon Ave,
Any,Any,560200,NCA MEM SVC NETWRK II-ATLANTA,NCA,C5602000,NCA District Office - Atlanta,C56020000,NCA District Office - Atlanta,300334032-00,1700 Clairmont Rd,
Any,Any,560300,NCA MEM SVC NETWRK III-DENVER,NCA,C5603000,NCA District Office - Denver,C56030000,NCA District Office - Denver,802281709-00,155 Van Gordon St,
Any,Any,560400,NCA MEM SVC NETWRK IV-INDNPLS,NCA,C5604000,NCA District Office - Indianapolis,C56040000,NCA District Office - Indianapolis,462041563-00,575 N Pennsylvania St,
Any,Any,560500,NCA MEM SVC NETWRK V-OAKLAND,NCA,C5605000,NCA District Office - Oakland,C56050000,NCA District Office - Oakland,946121425-00,1300 Clay St,
Any,Any,570100,NCA-NCEM SPRVS BY MSN1-PHIL PA,NCA,C5601000,NCA District Office - Philadelphia,C56010000,NCA District Office - Philadelphia,191444867-00,5000 Wissahickon Ave,
Any,Any,570200,NCA NCEM SUPRVS BY MSN2-ATL GA,NCA,C5602000,NCA District Office - Atlanta,C56020000,NCA District Office - Atlanta,300334032-00,1700 Clairmont Rd,
Any,Any,570300,NCA NCEM SUPRVS BY MSN3-DNVR,NCA,C5603000,NCA District Office - Denver,C56030000,NCA District Office - Denver,802281709-00,155 Van Gordon St,
Any,Any,570400,NCA NCEM SPRVS BY MSN4-INDNPLS,NCA,C5604000,NCA District Office - Indianapolis,C56040000,NCA District Office - Indianapolis,462041563-00,575 N Pennsylvania St,
Any,Any,570500,NCA NCEM SUPRV BY MSN 5 OAKLND,NCA,C5605000,NCA District Office - Oakland,C56050000,NCA District Office - Oakland,946121425-00,1300 Clay St,
Any,Any,570600,NCA TRAINING CENTER,NCA,C5706000,Training Center,C57060000,Training Center,631254181-00, 1 Jefferson Barracks Dr Bldg 56,
Any,Any,570700,NCA HUMAN RESOURCES CENTER,NCA,C5707000,Human Resources Center ,C57070000,Human Resources Center,462041563-00,575 N Pennsylvania St,
Any,Any,570800,NCA FNOD OFFICE,NCA,C5708000,First Notice of Death,C57080000,First Notice of Death,631291526-00,4850 Lemay Ferry Rd,
Any,Any,570900,NCA NATIONAL SCHED OFFICE,NCA,C5709000,Eligibility and Scheduling Office,C57090000,Eligibility&Scheduling Office,631291526-00,4850 Lemay Ferry Rd,
Any,Any,571000,NCA TRAINING CENTER INTERN,NCA,C5706000,Training Center,C57060000,Training Center,631254181-00, 1 Jefferson Barracks Dr Bldg 56,
Any,Any,571100,HUMAN RESOURCE CENTER CFM,NCA,C5707000,Human Resources Center ,C57070000,Human Resources Center,462041563-00,575 N Pennsylvania St,
774,MEMORIAL SERVICE NETWORK-INDY,540400,NCA-ACCOUNTING OPERATIONS DIV,NCA,C5604000,NCA District Office - Indianapolis,C56040000,NCA District Office - Indianapolis,462041563-00,575 N Pennsylvania St,
775,MEMORIAL SERVICE NETWORK-OAK,540400,NCA-ACCOUNTING OPERATIONS DIV,NCA,C5605000,NCA District Office - Oakland,C56050000,NCA District Office - Oakland,946121425-00,1300 Clay St,
787,MEMORIAL SERVICE NETWORK-PHILA,540400,NCA-ACCOUNTING OPERATIONS DIV,NCA,C5601000,NCA District Office - Philadelphia,C56010000,NCA District Office - Philadelphia,191444867-00,5000 Wissahickon Ave,
788,MEMORIAL SERVICE NETWORK-ATLA,540400,NCA-ACCOUNTING OPERATIONS DIV,NCA,C5602000,NCA District Office - Atlanta,C56020000,NCA District Office - Atlanta,300334032-00,1700 Clairmont Rd,
789,MEMORIAL SERVICE NETWORK-DENV,540400,NCA-ACCOUNTING OPERATIONS DIV,NCA,C5603000,NCA District Office - Denver,C56030000,NCA District Office - Denver,802281709-00,155 Van Gordon St,
318,WINSTON-SALEM NC VARO,301000,VBA-EXECUTIVE DIRECTION,VBA,B3180001,Winston Salem Field Programs,B31803010,Director's Office - Winston Salem,271013914-00,251 N Main St,
318,WINSTON-SALEM NC VARO,303000,NATIONAL CALL CENTER,VBA,B3180001,Winston Salem Field Programs,B31801330,National Call Center - Winston Salem,271013914-00,251 N Main St,
318,WINSTON-SALEM NC VARO,304000,VSC-OTHER/NO SPECIFIC TEAM,VBA,B3180001,Winston Salem Field Programs,B31803040,Compensation Service - Winston Salem,271013914-00,251 N Main St,
318,WINSTON-SALEM NC VARO,304100,DAY ONE BROKERING CENTER,VBA,B3180001,Winston Salem Field Programs,B31803041,Day One Brokering Center - Winston Salem,271013914-00,251 N Main St,
318,WINSTON-SALEM NC VARO,304700,BENEFITS DELIERY AT DISCHARGE,VBA,B3180001,Winston Salem Field Programs,B31803047,Benefits Delivery at Discharge (BDD) - Winston Salem,271013914-00,251 N Main St,
318,WINSTON-SALEM NC VARO,308000,VOCATIONAL REHAB & EMPLOY SVC,VBA,B3180001,Winston Salem Field Programs,B31803080,VRES - Winston Salem,271013914-00,251 N Main St,
318,WINSTON-SALEM NC VARO,309400,HUMAN RESOURCES MANAGEMENT,VBA,B3180001,Winston Salem Field Programs,B31803094,Human Resources - Winston Salem,271013914-00,251 N Main St,
318,WINSTON-SALEM NC VARO,309600,VBA-SUPPORT SERVICES,VBA,B3180001,Winston Salem Field Programs,B31803096,Support Services - Winston Salem,271013914-00,251 N Main St,
318,WINSTON-SALEM NC VARO,304500,AMO-GENERAL,VBA,B3180002,Winston Salem Appeals Management,B31803045,AMO - Winston Salem,271013914-00,251 N Main St,
460,WILMINGTON VA MEDICAL CENTER,303000,NATIONAL CALL CENTER,VBA,B3600001,Wilmington Field Programs,B36001330,National Call Center - Wilmington,198054917-00,1601 Kirkwood Hwy,
460,WILMINGTON VA MEDICAL CENTER,304000,VSC-OTHER/NO SPECIFIC TEAM,VBA,B3600001,Wilmington Field Programs,B36003040,Compensation Service - Wilmington,198054917-00,1601 Kirkwood Hwy,
460,WILMINGTON VA MEDICAL CENTER,304300,PMC-OTHER/NO SPECIFIC TEAM,VBA,B3600001,Wilmington Field Programs,B36003022,Pension Maintenance Center - Wilmington,198054917-00,1601 Kirkwood Hwy,
460,WILMINGTON VA MEDICAL CENTER,308000,VOCATIONAL REHAB & EMPLOY SVC,VBA,B3600001,Wilmington Field Programs,B36003080,VRES - Wilmington,198054917-00,1601 Kirkwood Hwy,
460,WILMINGTON VA MEDICAL CENTER,309600,VBA-SUPPORT SERVICES,VBA,B3600001,Wilmington Field Programs,B36003096,Support Services - Wilmington,198054917-00,1601 Kirkwood Hwy,
452,Wichita KS VARO,301000,VBA-EXECUTIVE DIRECTION,VBA,B3520001,Wichita Field Programs,B35203010,Director's Office - Wichita,672181607-00,5500 East Kellogg,
452,Wichita KS VARO,304000,VSC-OTHER/NO SPECIFIC TEAM,VBA,B3520001,Wichita Field Programs,B35203040,Compensation Service - Wichita,672181607-00,5500 East Kellogg,
452,Wichita KS VARO,308000,VOCATIONAL REHAB & EMPLOY SVC,VBA,B3520001,Wichita Field Programs,B35203080,VRES - Wichita,672181607-00,5500 East Kellogg,
452,Wichita KS VARO,309100,VBA - DIRECT DEPOSIT UNIT,VBA,B3520001,Wichita Field Programs,B35203091,Direct Deposit Unit - Wichita,672181607-00,5500 East Kellogg,
452,Wichita KS VARO,309400,HUMAN RESOURCES MANAGEMENT,VBA,B3520001,Wichita Field Programs,B35203094,Human Resources - Wichita,672181607-00,5500 East Kellogg,
452,Wichita KS VARO,309600,VBA-SUPPORT SERVICES,VBA,B3520001,Wichita Field Programs,B35203096,Support Services - Wichita,672181607-00,5500 East Kellogg,
452,Wichita KS VARO,310000,DISABILITY RATING ACTIVITYSITE,VBA,B3520001,Wichita Field Programs,B35203100,Disability Rating Activity Site - Wichita,672181607-00,5500 East Kellogg,
452,Wichita KS VARO,304500,AMO-GENERAL,VBA,B3520002,Wichita KS Appeals Management,B35203045,AMO - Wichita,672181607-00,5500 East Kellogg,
405,White River Junction RO,304000,VSC-OTHER/NO SPECIFIC TEAM,VBA,B3050001,White River Junction Field Programs,B30503040,Compensation Service - White River Junction,050092150-00,163 Veterans Dr,
405,White River Junction RO,308000,VOCATIONAL REHAB & EMPLOY SVC,VBA,B3050001,White River Junction Field Programs,B30503080,VRES - White River Junction,050092150-00,163 Veterans Dr,
405,White River Junction RO,304500,AMO-GENERAL,VBA,B3050002,White River Junction Appeals Management,B30503045,AMO - White River Junction,050092150-00,163 Veterans Dr,
372,WASHINGTON DC,301000,VBA-EXECUTIVE DIRECTION,VBA,B3720001,Washington Field Programs,B37203010,Director's Office - Washington,204211100-00,"1722 I St, NW",
372,WASHINGTON DC,303000,NATIONAL CALL CENTER,VBA,B3720001,Washington Field Programs,B37201330,National Call Center - Washington,204211100-00,"1722 I St, NW",
372,WASHINGTON DC,304000,VSC-OTHER/NO SPECIFIC TEAM,VBA,B3720001,Washington Field Programs,B37203040,Compensation Service - Washington,204211100-00,"1722 I St, NW",
372,WASHINGTON DC,308000,VOCATIONAL REHAB & EMPLOY SVC,VBA,B3720001,Washington Field Programs,B37203080,VRES - Washington,204211100-00,"1722 I St, NW",
372,WASHINGTON DC,309600,VBA-SUPPORT SERVICES,VBA,B3720001,Washington Field Programs,B37203096,Support Services - Washington,204211100-00,"1722 I St, NW",
349,WACO TX VARO,301000,VBA-EXECUTIVE DIRECTION,VBA,B3490001,Waco Field Programs,B34903010,Director's Office - Waco,767991177-00,701 Clay Ave,
349,WACO TX VARO,303000,NATIONAL CALL CENTER,VBA,B3490001,Waco Field Programs,B34901330,National Call Center - Waco,767991177-00,701 Clay Ave,
349,WACO TX VARO,304000,VSC-OTHER/NO SPECIFIC TEAM,VBA,B3490001,Waco Field Programs,B34903040,Compensation Service - Waco,767991177-00,701 Clay Ave,
349,WACO TX VARO,304100,DAY ONE BROKERING CENTER,VBA,B3490001,Waco Field Programs,B34903041,Day One Brokering Center - Waco,767991177-00,701 Clay Ave,
349,WACO TX VARO,308000,VOCATIONAL REHAB & EMPLOY SVC,VBA,B3490001,Waco Field Programs,B34903080,VRES - Waco,767991177-00,701 Clay Ave,
349,WACO TX VARO,309400,HUMAN RESOURCES MANAGEMENT,VBA,B3490001,Waco Field Programs,B34903094,Human Resources - Waco,767991177-00,701 Clay Ave,
349,WACO TX VARO,309600,VBA-SUPPORT SERVICES,VBA,B3490001,Waco Field Programs,B34903096,Support Services - Waco,767991177-00,701 Clay Ave,
349,WACO TX VARO,304500,AMO-GENERAL,VBA,B3490002,Waco Appeals Management,B34903045,AMO - Waco,767991177-00,701 Clay Ave,
101,VA CENTRAL OFFICE,308000,VOCATIONAL REHAB & EMPLOY SVC,VBA,B2108000,Vocational Rehabilitation and Employment Service (VRES),B30800000,Vocational Rehabilitation and Employment Service (VRES),200060001-00,1800 G St NW,
402,Togus RO,301000,VBA-EXECUTIVE DIRECTION,VBA,B3020001,Togus Field Programs,B30203010,Director's Office - Togus,043306719-00,1 VA Center,
402,Togus RO,303000,NATIONAL CALL CENTER,VBA,B3020001,Togus Field Programs,B30201330,National Call Center - Togus,043306719-00,1 VA Center,
402,Togus RO,304000,VSC-OTHER/NO SPECIFIC TEAM,VBA,B3020001,Togus Field Programs,B30203040,Compensation Service - Togus,043306719-00,1 VA Center,
402,Togus RO,304100,DAY ONE BROKERING CENTER,VBA,B3020001,Togus Field Programs,B30203041,Day One Brokering Center - Togus,043306719-00,1 VA Center,
402,Togus RO,308000,VOCATIONAL REHAB & EMPLOY SVC,VBA,B3020001,Togus Field Programs,B30203080,VRES - Togus,043306719-00,1 VA Center,
402,Togus RO,309400,HUMAN RESOURCES MANAGEMENT,VBA,B3020001,Togus Field Programs,B30203094,Human Resources - Togus,043306719-00,1 VA Center,
402,Togus RO,309600,VBA-SUPPORT SERVICES,VBA,B3020001,Togus Field Programs,B30203096,Support Services - Togus,043306719-00,1 VA Center,
402,Togus RO,304500,AMO-GENERAL,VBA,B3020002,Togus Appeals Management,B30203045,AMO - Togus,043306719-00,1 VA Center,
317,ST PETERSBURG FL VARO,301000,VBA-EXECUTIVE DIRECTION,VBA,B3170001,St Petersburg Field Programs,B31703010,Director's Office - St Petersburg,337448700-00,9500 Bay Pines Blvd,
317,ST PETERSBURG FL VARO,303000,NATIONAL CALL CENTER,VBA,B3170001,St Petersburg Field Programs,B31701330,National Call Center - St Petersburg,337448700-00,9500 Bay Pines Blvd,
317,ST PETERSBURG FL VARO,303400,CENTRALIZED CHALLENGE TRAINING,VBA,B3170001,St Petersburg Field Programs,B31703010,Director's Office - St Petersburg,337448700-00,9500 Bay Pines Blvd,
317,ST PETERSBURG FL VARO,304000,VSC-OTHER/NO SPECIFIC TEAM,VBA,B3170001,St Petersburg Field Programs,B31703040,Compensation Service - St Petersburg,337448700-00,9500 Bay Pines Blvd,
317,ST PETERSBURG FL VARO,305000,VBA-LOAN GUARANTY,VBA,B3170004,St Petersburg Loan Guaranty,B31703050,Regional Loan Center - St Petersburg,337448700-00,9500 Bay Pines Blvd,
317,ST PETERSBURG FL VARO,308000,VOCATIONAL REHAB & EMPLOY SVC,VBA,B3170001,St Petersburg Field Programs,B31703080,VRES - St Petersburg,337448700-00,9500 Bay Pines Blvd,
317,ST PETERSBURG FL VARO,309400,HUMAN RESOURCES MANAGEMENT,VBA,B3170001,St Petersburg Field Programs,B31703094,Human Resources - St Petersburg,337448700-00,9500 Bay Pines Blvd,
317,ST PETERSBURG FL VARO,309600,VBA-SUPPORT SERVICES,VBA,B3170001,St Petersburg Field Programs,B31703096,Support Services - St Petersburg,337448700-00,9500 Bay Pines Blvd,
317,ST PETERSBURG FL VARO,310000,DISABILITY RATING ACTIVITYSITE,VBA,B3170001,St Petersburg Field Programs,B31703100,Disability Rating Activity Site - St Petersburg,337448700-00,9500 Bay Pines Blvd,
317,ST PETERSBURG FL VARO,304500,AMO-GENERAL,VBA,B3170002,St Petersburg Appeals Management,B31703045,AMO - St Petersburg,337448700-00,9500 Bay Pines Blvd,
335,ST PAUL MN VARO,301000,VBA-EXECUTIVE DIRECTION,VBA,B3350001,St Paul Field Programs,B33503010,Director's Office - St Paul,551114050-00,1 Federal Dr,
335,ST PAUL MN VARO,303000,NATIONAL CALL CENTER,VBA,B3350001,St Paul Field Programs,B33501330,National Call Center - St Paul,551114050-00,1 Federal Dr,
335,ST PAUL MN VARO,304000,VSC-OTHER/NO SPECIFIC TEAM,VBA,B3350001,St Paul Field Programs,B33503040,Compensation Service - St Paul,551114050-00,1 Federal Dr,
335,ST PAUL MN VARO,304100,DAY ONE BROKERING CENTER,VBA,B3350001,St Paul Field Programs,B33503041,Day One Brokering Center - St Paul,551114050-00,1 Federal Dr,
335,ST PAUL MN VARO,304300,PMC-OTHER/NO SPECIFIC TEAM,VBA,B3350001,St Paul Field Programs,B33503031,Pension Maintenance Center - St Paul,551114050-00,1 Federal Dr,
335,ST PAUL MN VARO,305000,VBA-LOAN GUARANTY,VBA,B3350004,St Paul Loan Guaranty,B33503050,Regional Loan Center - St Paul,551114050-00,1 Federal Dr,
335,ST PAUL MN VARO,308000,VOCATIONAL REHAB & EMPLOY SVC,VBA,B3350001,St Paul Field Programs,B33503080,VRES - St Paul,551114050-00,1 Federal Dr,
335,ST PAUL MN VARO,309400,HUMAN RESOURCES MANAGEMENT,VBA,B3350001,St Paul Field Programs,B33503094,Human Resources - St Paul,551114050-00,1 Federal Dr,
335,ST PAUL MN VARO,309600,VBA-SUPPORT SERVICES,VBA,B3350001,St Paul Field Programs,B33503096,Support Services Division - St Paul,551114050-00,1 Federal Dr,
335,ST PAUL MN VARO,304500,AMO-GENERAL,VBA,B3350002,St Paul Appeals Management,B33503045,AMO - St Paul,551114050-00,1 Federal Dr,
331,ST LOUIS MO  VARO,301000,VBA-EXECUTIVE DIRECTION,VBA,B3310001,St Louis Field Programs,B33103010,Director's Office - St Louis,631321555-00,9700 Page Ave,
331,ST LOUIS MO  VARO,303000,NATIONAL CALL CENTER,VBA,B3310001,St Louis Field Programs,B33101330,National Call Center - St Louis,631321555-00,9700 Page Ave,
331,ST LOUIS MO  VARO,304000,VSC-OTHER/NO SPECIFIC TEAM,VBA,B3310001,St Louis Field Programs,B33103040,Compensation Service - St Louis,631321555-00,9700 Page Ave,
331,ST LOUIS MO  VARO,308000,VOCATIONAL REHAB & EMPLOY SVC,VBA,B3310001,St Louis Field Programs,B33103080,VRES - St Louis,631321555-00,9700 Page Ave,
331,ST LOUIS MO  VARO,309400,HUMAN RESOURCES MANAGEMENT,VBA,B3310001,St Louis Field Programs,B33103094,Human Resources - St Louis,631321555-00,9700 Page Ave,
331,ST LOUIS MO  VARO,309600,VBA-SUPPORT SERVICES,VBA,B3310001,St Louis Field Programs,B33103096,Support Services - St Louis,631321555-00,9700 Page Ave,
331,ST LOUIS MO  VARO,307000,VBA-EDUCATION SERVICE,VBA,B3310003,St Louis Education Service,B33103070,Education Service - St Louis,631321555-00,9700 Page Ave,
331,ST LOUIS MO  VARO,304500,AMO-GENERAL,VBA,B3310002,St Louis Appeals Management,B33103045,AMO - St Louis,631321555-00,9700 Page Ave,
438,Sioux Falls RO,301000,VBA-EXECUTIVE DIRECTION,VBA,B3380001,Sioux Falls Field Programs,B33803010,Director's Office - Sioux Falls ,571051305-00,2501 W 22nd St,
438,Sioux Falls RO,304000,VSC-OTHER/NO SPECIFIC TEAM,VBA,B3380001,Sioux Falls Field Programs,B33803040,Compensation Service - Sioux Falls,571051305-00,2501 W 22nd St,
438,Sioux Falls RO,308000,VOCATIONAL REHAB & EMPLOY SVC,VBA,B3380001,Sioux Falls Field Programs,B33803080,VRES - Sioux Falls,571051305-00,2501 W 22nd St,
438,Sioux Falls RO,309400,HUMAN RESOURCES MANAGEMENT,VBA,B3380001,Sioux Falls Field Programs,B33803094,Human Resources - Sioux Falls,571051305-00,2501 W 22nd St,
438,Sioux Falls RO,304500,AMO-GENERAL,VBA,B3380002,Sioux Falls Appeals Management,B33803045,Appeals Management Office - Sioux Falls,571051305-00,2501 W 22nd St,
346,SEATTLE WA VARO,301000,VBA-EXECUTIVE DIRECTION,VBA,B3460001,Seattle Field Programs,B34603010,Director's Office - Seattle,981741009-00,915 Second Ave,
346,SEATTLE WA VARO,303000,NATIONAL CALL CENTER,VBA,B3460001,Seattle Field Programs,B34601330,National Call Center - Seattle,981741009-00,915 Second Ave,
346,SEATTLE WA VARO,304000,VSC-OTHER/NO SPECIFIC TEAM,VBA,B3460001,Seattle Field Programs,B34603040,Compensation Service - Seattle,981741009-00,915 Second Ave,
