FMS_BOC,FMS_SUB_BOC,FMS_BOC_NAME,IFAMS_BOC,IFAMS_BOC_NAME,LOAD_DATE
2691,,FLAGS,260402,FLAGS - EXCLUDES BURIAL FLAGS CHARGEABLE TO 36X0102,
2692,,PROSTHETIC SUPPLIES,260507,PROSTHETIC SUPPLIES,
2693,,HOME DIALYSIS EQUIP AND SUPPLY,260508,HOME DIALYSIS EQUIPMENT AND SUPPLIES,
2696,,SUPPLY INVENTORY-HELD FOR SALE,260512,SUPPLY FUND INVENTORY - HELD FOR SALE,
3110,,TRANSPORTATION EQUIP-PSNGR VEH,310101,TRANSPORTATION EQUIPMENT - PASSENGER VEHICLES - CAP,
3111,,"TRANS EQUIP-PSGR VEH, NOT CAP",310102,TRANSPORTATION EQUIPMENT - PASSENGER VEHICLES - NON-CAP,
3112,,TRANSP EQ - NON-PSNGR VEHICLES,310121,TRANSPORTATION EQUIPMENT - NON-PASSENGER VEHICLES - CAP,
3113,,"TRANS EQUIP-N-PSGR VEH,NOT CA",310122,TRANSPORTATION EQUIPMENT - NON-PASSENGER VEHICLES - NON-CAP,
3115,,ARTWORK - NON-CAPITALIZED,310220,ARTWORK,
3120,,"FURN & FIXTURES, CAP",310201,FURNITURE & FIXTURES - CAP,
3121,,"OFFICE EQUIPMENT, CAP",310501,OFFICE EQUIPMENT - CAP,
3122,,IT SERVER& DATA STORAGE SYS,310452,IT SERVER & DATA STORAGE SYSTEMS - NON-CAP,
3123,,IT VIDEOCONFEREQPT,310462,IT VIDEOCONFERENCING EQUIPMENT - NON-CAP,
3124,,INTERNAL USE SOFTWARE-CAPITLZD,310411,INTERNAL USE SOFTWARE (INTERNALLY DEVELOPED) - CAP,
3125,,TELECOMM EQ (DATA) PURCHASED,310481,TELECOMMUNICATIONS EQUIPMENT - CAP,
3126,,"FURNITURE & FIXTURES, NOT CAP",310202,FURNITURE & FIXTURES - NON-CAP,
3127,,"OFFICE EQUIPMENT, NOT CAP",310502,OFFICE EQUIPMENT - NON-CAP,
3128,,IT NETWORK EQUIPMENT,310432,IT NETWORK EQUIPMENT - NON-CAP,
3129,,IT PERIPHERAL DEVICE,310442,IT PERIPHERAL DEVICE - NON-CAP,
3130,,"MED, DENTAL AND SCIENTIFIC EQ",310301,"MEDICAL, DENTAL & SCIENTIFIC EQUIPMENT - CAP",
3131,,"MED, DENTAL, SCIENT EQ, N CAP",310302,"MEDICAL, DENTAL & SCIENTIFIC EQUIPMENT - NON-CAP",
3132,,INTERNAL USE SOFTWARE (COTS) C,310401,INTERNAL USE SOFTWARE (PURCHASED) - CAP,
3133,,"TELECOMM EQUIPMENT, NON CAPP",310482,TELECOMMUNICATIONS EQUIPMENT - NON-CAP,
3134,,INTERNAL USE SOFTWARE - NC,310402,INTERNAL USE SOFTWARE - NON-CAP,
3135,,"PROS TELEHEALTH EQUIP, NON CAP",310312,TELEHEALTH EQUIPMENT - NON-CAP,
3136,,IT COMPUTER WORKSTATION,310412,IT COMPUTER WORKSTATION - NON-CAP,
3137,,MOBILE COMPUTING DEVICES,310472,MOBILE COMPUTING DEVICES - NON-CAP,
3138,,IT HARDWARE-CAPITALIZED,310421,IT HARDWARE - CAP,
3150,,UTILITY & OPERATING EQUIPMENT,310701,UTILITY & OPERATING EQUIPMENT - CAP,
3151,,"UTILITY & OPER EQ, NOT CAP",310702,UTILITY & OPERATING EQUIPMENT - NON-CAP,
3152,,DEC EMERGENCY EQUIP NON-CAP,310998,DEC EMERGENCY EQUIP NON-CAP,
3153,,DEC EMERGENCY EQUIP CAP,310999,DEC EMERGENCY EQUIP CAP,
3157,,DEC EMERGENCY CLEANUP PP,257498,DEC EMERGENCY CLEANUP PP,
3160,,EQUIPMENT UNDER LEASE PURCHASE,310801,LEASED IT EQUIPMENT - CAP,
3161,,"EQ UNDR CAPITAL LEASE, NOT CAP",310802,LEASED IT EQUIPMENT - NON-CAP,
3171,,LAW ENFORCEMENT FIREARMS,310601,LAW ENFORCEMENT FIREARMS,
3172,,LAWENFORCFIRARMSTE,310602,LAW ENFORCEMENT FIREARMS TRAINING EQUIPMENT,
3198,,SUPPLY FUND DIRECT DELIVERY,310901,DIRECT DELIVERY (SUPPLY FUND),
3199,,SUPPLY FUND EQUIPMENT ORDERS,310902,EQUIPMENT ORDERS FOR LEASES (SUPPLY FUND),
3210,,LAND,320101,LAND,
3215,,IMPROVEMENTS TO LAND,320301,NONSTRUCTUAL IMPROVEMENTS - CAP,
3216,,"IMPROVEMENTS TO LAND, NON-CAP",320302,NONSTRUCTUAL IMPROVEMENTS - NON-CAP,
3220,,BUILDINGS,320201,BUILDINGS - CAP,
3221,,SITE PREP FOR INFO SYS TECH,320241,SITE PREPARATION - INFORMATION SYSTEM TECHNOLOGY- CAP,
3222,,"LAND,BLDG,ETC.",320211,"LAND, BLDG, OTH UNDER LEASE PURCHASE- CAP",
3223,,BLDGS & FACILITIES-NOT CAP,320202,BUILDINGS - NON-CAP,
3225,,TELECOMMUNICATION EQUIPMENT,320401,TELECOMMUNICATION EQUIPMENT - CAP,
3226,,"TELECOMMUNICATIONS, NOT CAP",320402,TELECOMMUNICATION EQUIPMENT - NON-CAP,
3227,,SITE PRP INFO TECH SYS NOT CAP,320242,SITE PREPARATION - INFORMATION SYSTEM TECHNOLOGY - NON-CAP,
3230,,LEASEHOLD IMPROVEMENTS,320231,LEASEHOLD IMPROVMENTS - CAP,
3231,,LEASEHOLD IMPROVE-NOT CAP,320232,LEASEHOLD IMPROVMENTS - NON-CAP,
3240,,OTHER STRUCTURES & FACILITIES,320221,OTHER STRUCTURES AND FACILITITES - CAP,
3241,,"OTH STRUCTURES & FAC, NOT CAP",320222,OTHER STRUCTURES AND FACILITITES - NON-CAP,
3252,,DEC EMERY CLEANUP LAND NON-CAP,320298,DECLARED EMG CLEANREPAIR/REFURB LAND BLDG STRUCT - NON CAP,
3253,,DEC EMERG CLEANUP LAND CAP,320299,DECLARED EMG CLEAN REPAIR/REFURB LAND BLDG STRUCT - CAP,
3254,,DEMOLITION OF BLDGS&STRUCT NCA,320205,DEMOLITION OF BUILDINGS AND OTHER STRUCTURES,
3255,,"HAZ WASTE CLNUP, BLDG&STRC N/C",320502,HAZARDOUS WASTE CLEAN-UP OF BUILDINGS NON-CAP,
3256,,REO ACQUISTION COST,320216,REO ACQUISITION COST (VBA),
3257,,FORCLSD ACQ PROP IMPRVMNTS-VBA,320217,REO PROPERTY IMPROVMENTS (VBA),
3259,,CREDIT REFORM RMB D LOAN-VBA,320501,CREDIT REFORM REIMBURSMENT DIRECT LOAN (VBA),
3260,,ENERGY PROJECTS,320411,ENERGY EQUIPMENT - CAP,
3261,,ENERGY PRJ - NON-CAPITALIZED,320412,ENERGY EQUIPMENT - NON-CAP,
3270,,HERITAGE BLDG & STRUCTURES,320206,HERITAGE BUILDINGS AND STRUCTURES - NON-CAP,
3310,,PROPERTY ACQUISITIONS,330101,VA PROPERTY ACQUISITIONS (VBA),
3320,,PREMIUMS/DISC FOR INS PRG,330104,PREMIUMS/DISCOUNTS - INSURANCE PROGRAMS (VBA),
3321,,CLAIMS RECV-LOAN GUAR-VBA ONLY,330103,CLAIMS RECEIVABLE - LOAN GUARENTEE (VBA),
3322,,LOAN CLAIM&SVC REFUND/REPURCH,330102,LOAN CLAIM & SERVICE REFUNDED/REPURCHASED LOANS (VBA),
4107,,CHAPTER 31 TUITION & FEES,251127,CHAPTER 31 TUITION & FEES,
4108,,CHAPTER 31 BOOKS,260202,CHAPTER 31 BOOKS,
4109,,CHAPTER 31 SUPPLIES,260405,CHAPTER 31 SUPPLIES,
4110,,REHABILITATION BENEFITS - VBA,251117,REHABILITATION BENEFITS (VBA),
4112,,CHAPTER 31 HANDLING CHARGES,251126,CHAPTER 31 SERVICE FEES,
4113,,CHAPTER 31 TUTORIAL EXPENSE,251118,CHAPTER 31 TUTORIAL EXPENSE,
4114,,CHAPTER 31 TAXES,410402,Chapter 31 Taxes,
4115,,HOUSING STAGE PAYMENTS,330108,HOUSING STAGE PAYMENTS (VBA),
4116,,LOAN SUBSIDY,410201,LOAN SUBSIDY (VBA),
4117,,RE-ESTIMATES OF LOAN SUBSIDY,410202,RE-ESTIMATES OF LOAN SUBSIDY (VBA),
4119,,HOME IMPROV & STRUC ALLOC BENE,410116,HOME IMPROVEMENTS & STRUCTURAL ALTERATIONS BENEFIT,
4120,,GRANTS SVCS TO HOMELESS VETS,410101,SERVICES TO HOMELESS VETERANS,
4121,,GRANTS-VHASUPSVCSVETFHOM,410102,VHA SUPPORTIVE SERVICES FOR VETERANS FAMILIES,
4122,,DO NOT USE RESERVED GRANTMGSVC,410106,STATE NURSE RETENTION PROGRAM,
4124,,GRANTS - VHASTHOMECONS,410103,VHA STATE HOME CONSTRUCTION,
4127,,STATE APPROVING AGENCY (SAA),410303,STATE APPROVING AGENCY (VBA),
4130,,SUBSIDIES&GRANTS/INS & IND FDS,410203,SUBSIDIES - INSURANCE & INDEMNITY FUNDS,
4131,,GRANTS NCACEMGS,410119,NCA CEMETERY SERVICES,
4132,,GRANTS-VHASHPCVSHOMES,410108,STATE VETERAN HOMES - DOMICILIARY CARE,
4133,,GRANTS-VHA RURAL VETS CORD PIL,410104,VHA RURAL VETERANS COORDINATION PILOT,
4134,,GRANTS - VBASPEADPHAT,410120,VBA SPECIALLY ADAPTIVE HOUSING - RESEARCH & DEVELOPMENT,
4135,,GRANTS VAINTADAPSPORTS,410117,VA ADAPTIVE SPORTS PROGRAMS,
4136,,GRANTS-VHA TRANSP VETS HRA,410105,VHA TRANSPORTATION OF VETERANS IN HIGHLY RURAL AREAS,
4137,,GRANTS VAINTADAPSPORTS,410118,GRANTS - GRANTS MGMT SVC ONLY,
4146,,CH 31 BENE TRAVEL NON-SUBSISTE,211612,CHAPTER 31 BENEFICIARY - NON-SUBSISTENCE,
4147,,CH 31 NAS SPECIAL CONTRL. SVCS,251119,CHAPTER 31 NAS SPECIAL CONTRACTUAL SERVICES (VBA),
4150,,CHAPTER 31 EQUIPMENT,260406,CHAPTER 31 EQUIPMENT,
4155,,CHAPTER 31 ONE TIME MISC,260407,CHAPTER 31 ONE TIME MISCELLANEOUS,
4156,,CH31 NON-CONTRACTUAL SPL SVCS,251120,CHAPTER 31 NON-CONTRACTUAL SPECIAL SERVICES,
4157,,CHAPTER 31 CONTRCTL SPL SVCS,251121,CHAPTER 31 CONTRACTUAL SPECIAL SERVICES,
4158,,CH18 SPINA BIFIDA CNTRCT CNSL,251122,CHAPTER 18 SPINA BIFIDA CONTRACT COUNSELING,
4159,,VETERAN ADOPTION REIMBURSEMENT,410304,VETERAN ADOPTION REIMBURSEMENT,
4192,,ALL OTH CONTRCT CNSEL (ED/VOC),251123,NON CHAPTER 31 CONTRACT COUNSELING (EDUCATION/VOCATIONAL),
4201,,JUDGMNT FUND EXP-CONT-VACO 150,420101,JUDGMENT FUND LIABILITY - CONTRACTUAL (FSC),
4202,,UNFUND JUDGMNT FUND EXP-CO 150,420102,JUDGMENT FUND LIABILITY (FSC),
4203,,JUDGMENT FUND-CONTRACT DISPUTE,420103,JUDGMENT FUND - CONTRACT DISPUTE,
4204,,JUDGEMENT NO FEAR ACT VACO 150,420108,JUDGMENT NO FEAR ACT (FSC),
4205,,NO FEAR ACT SETTLEMENTS,420106,NO FEAR ACT SETTLEMENTS,
4206,,NO FEAR ACT SETTLEMENT ATTFEE,420107,NO FEAR ACT SETTLEMENT ATT FEE,
4207,,CONTRACT DISPUTE ACT SETTEMENT,420109,CONTRACT DISPUTE ACT SETTLEMENTS,
4208,,CONTRACT DISPUTE ACT ATTFEET,420110,CONTRACT DISPUTE ACT ATT FEE,
4210,,PENSION ANNUITIES & INS CLAIMS,420201,PENSION ANNUITIES & INSURANCE CLAIMS,
4220,,FEDERAL TORT CLAIMS,420203,FEDERAL TORT CLAIMS,
4221,,MEDICAL MALPRACTICE CLAIMS SET,420104,MEDICAL MALPRACTICE CLAIMS SET,
4222,,EEO CLAIM SETTLEMENTS,420207,EEO CLAIM SETTLEMENTS,
4223,,FLSA CLAIMS SETTLEMENT,420209,FLSA CLAIMS SETTLEMENT,
4224,,PENSIONS/INSURACEATTFEE,420202,PENSION ANNUITIES & INSURANCE CLAIMS ATT FEE,
4225,,FEDERAL TORT CLAIMS ATTFEE,420204,FEDERAL TORT CLAIMS ATT FEE,
4226,,MEDICAL MALPRACTICE ATTFEE,420105,MEDICAL MALPRACTICE ATT FEE,
4227,,EEO CLAIM SETTLEMENT ATTFEE,420208,EEO CLAIM SETTLEMENT ATT FEE,
4228,,FLSA ATTFEE,420210,FLSA ATT FEE,
4229,,MERIT SYSTEM PROTECTION,420211,MERIT SYSTEM PROTECTION,
4230,,MERIT SYSTEM PROTECTION ATTFEE,420212,MERIT SYSTEM PROTECTION ATT FEE,
4231,,LABOR GRIEVANCES,420213,LABOR GRIEVANCES,
4232,,LABOR GRIEVANCES ATTFEE,420214,LABOR GRIEVANCES ATT FEE,
4233,,WHISTLEBLOWER RETALIATION,420215,WHISTLEBLOWER RETALIATION,
4234,,WHISTLEBLOWER ATTFEE,420216,WHISTLEBLOWER ATT FEE,
4235,,DISCIPLINARY APPEALS BOARD,420217,DISCIPLINARY APPEALS BOARD,
4236,,DISCPLINARY AB ATTFEE,420218,DISCPLINARY APPEALS BOARD ATT FEE,
4237,,EMPLOYEE DEPT APPEALS,420219,EMPLOYEE DEPT APPEALS,
4238,,EMPLOYEE DEBTATTFEE,420220,EMPLOYEE DEBT ATT FEE,
4239,,EQUITABLE ADJUSTMENT (REA),420221,EQUITABLE ADJ (REA),
4240,,EQUITABLE ADJ (REA) ATTFEE,420222,EQUITABLE ADJ (REA) ATT FEE,
4241,,BID PROTEST,420223,BID PROTEST,
4242,,BID PROTEST ATTFEE,420224,BID PROTEST ATT FEE,
4243,,EAJA PAYMENTS,420227,EAJA PAYMENTS,
4244,,FOIA / PRIVACY ACT SETTLEMENTS,420225,FOIA / PRIVACY ACT SETTLEMENTS,
4245,,FOIA / PRIVACY ATTFEE,420226,FOIA / PRIVACY ACT SETTLEMENTS ATT FEE,
4250,,REIMBURSEMENT FOR LOSSES,420205,REIMBURSEMENT FOR LOSSES,
4260,,"ADMIN. EXPENSE,INSURANCE PRG",420229,"ADMINISTRATIVE EXPENSE, INSURANCE PROGRAMS",
4265,,DIRECT LOAN TAX INTEREST/PENAL,330106,LOAN GUARANTY PROGRAM (VBA),
4266,,EXPENSE WRITOFF-LOAN GUARNTY,330107,CLAIM PAYMENT FOR FORECLOSED PROPERTY (VBA),
4267,,LOAN GUARN PROG B/P,251113,LOAN GUARANTY REO – SERVICE CONTRACTOR BONUS/PENALTIES (VBA),
4301,,LGP FED INT BOR EXP - VBA,430101,LOAN GUARANTY FEDERAL INTEREST BORROWING EXPENSE (VBA),
4310,,INTEREST EXP-CAP LEASE PURCHAS,430301,INTEREST EXPENSE-CAPITAL LEASE PURCHASE,
4320,,"INTEREST ON DIV, CREDITS&DEP",430102,"INTEREST ON DIVIDENDS, CREDITS & DEPOSITS",
4330,,"DIVIDENDS, INSURANCE PRGS",430201,DIVIDENDS - INSURANCE PROGRAMS,
4410,,REFUNDS - VBA,440101,REFUNDS,
1114,71,PERFORMANCE PAY PHYS & DENTIST,115411,DENTIST PERFORMANCE PAY - F/T,
1114,72,PERFORMANCE PAY PHYS & DENTIST,115412,DENTIST PERFORMANCE PAY - P/T,
1114,81,PERFORMANCE PAY PHYS & DENTIST,115421,PHYSICIAN PERFORMANCE PAY - F/T,
1114,82,PERFORMANCE PAY PHYS & DENTIST,115422,PHYSICIAN PERFORMANCE PAY - P/T,
1208,T1,TEMPORARY QUARTERS EXPENSE (FSC USE ONLY),121329,TEMPORARY QUARTERS EXPENSE (FSC),
1208,T2,MISCELLANEOUS SUBSISTENCE EXPENSE (FSC USE ONLY),121330,MISCELLANEOUS SUBSISTENCE EXPENSE(FSC),
1209,T3,REAL ESTATE SALE EXPENSE (FSC USE ONLY),121331,REAL ESTATE SALE EXPENSE (FSC),
1209,T4,REAL ESTATE PURCHASE EXPENSE (FSC USE ONLY),121332,REAL ESTATE PURCHASE EXPENSE (FSC),
1209,T5,REAL ESTATE LEASE BREAK EXPENSE (FSC USE ONLY),121333,REAL ESTATE LEASE BREAK EXPENSE (FSC),
