FMS_RSC,FMS_RSC_NAME,IFAMS_REVENUE_SOURCE_CODE,IFAMS_REVENUE_SOURCE_CODE_NAME,LOAD_DATE
U031,CITY PARKS OF CLARKSBURG,U00N05,Non-Reimbursable-Parking Out- Leased Assets Revenue,
U032,SCHOLTING AGRICULTURAL LEASE,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U033,HALLAMORE CORP,U00N05,Non-Reimbursable-Parking Out- Leased Assets Revenue,
U034,HAMPTON FEDERAL CREDIT UNION,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U035,ATF POTABLE WATER,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U036,MIDTOWN PLAZA SHOPPING CENTER INC.,U00N05,Non-Reimbursable-Parking Out- Leased Assets Revenue,
U037,BLOOD BANK TEMP PARKING,U00N05,Non-Reimbursable-Parking Out- Leased Assets Revenue,
U038,PEDALS FOR PATRIOTS,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U039,HANSCOM FEDERAL CREDIT UNION,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U040,DISABLED AMERICAN VETERANS,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U041,NV DEPT OF VETERAN SERVICES,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U042,Dean Black (Black's Natural) Outlease of Undeveloped,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U043,IL DEPT OF VETERANS AFFAIRS,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U044,VETERANS OF FOREIGN WARS,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U045,COUNTY PARK OUTLEASE,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U046,SUMMIT CREDIT UNION II,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U048,MBCC PARKING II,U00R05,Reimbursable-Parking Out- Leased Assets Revenue,
U049,BIO WORKS PARKING,U00R05,Reimbursable-Parking Out- Leased Assets Revenue,
U050,PRINCETON VA CLINIC,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U051,SOUTHERN CALIFORNIA EDISON,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U052,WESTSIDE FOOD BANK,U00N04,Non-Reimb-Outdoor Rec Facilities Out- Leased Assets Revenue,
U053,SAFE PARKING,U00N05,Non-Reimbursable-Parking Out- Leased Assets Revenue,
U054,SHAKESPEARE CENTER OF LA,U00N04,Non-Reimb-Outdoor Rec Facilities Out- Leased Assets Revenue,
U055,CALTRANS DISTRICT 7,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U056,VETERANS PARK CONSERVANCY,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U057,SUNDSTROM AGRICULTURAL,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U058,RL--AVVA-PTSD-2,U00N04,Non-Reimb-Outdoor Rec Facilities Out- Leased Assets Revenue,
U059,PKK CHILD CARE CENTER,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U060,USCOC CELL TOWER,U00N01,Non-Reimbursable-Rooftop Out- Leased Assets Revenue,
U061,UMPQUA VALLEY CAL RIPKEN,U00N04,Non-Reimb-Outdoor Rec Facilities Out- Leased Assets Revenue,
U062,STONY BROOK UNIV HOSPITAL,U00N05,Non-Reimbursable-Parking Out- Leased Assets Revenue,
U063,STREET MEMORIES CAR CLUB,U00N04,Non-Reimb-Outdoor Rec Facilities Out- Leased Assets Revenue,
U064,FBI BOA,U00N01,Non-Reimbursable-Rooftop Out- Leased Assets Revenue,
U065,YORK GOLF COURSE II,U00N04,Non-Reimb-Outdoor Rec Facilities Out- Leased Assets Revenue,
U066,(Lease of Undeveloped Land),U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U067,"ALEXANDRIA NC, VA LODGE LEASE",U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U068,SARATOGA SOD FARM,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U069,GENERAL OLD GOLF COURSE,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U071,VERIZON RIGHT OF ACCESS (EASEMENT)-QUANTICO NC,U00N07,Non-Reimbursable-Warehouse Out- Leased Assets Revenue,
U072,WILMINGTONNC LODGE OUTLEASE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U100,TOGUS BEAL HOUSE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U108,BEDFORD USAF - GOLF COURSE,U00N04,Non-Reimb-Outdoor Rec Facilities Out- Leased Assets Revenue,
U111,BROCKTON CITY EMERGENCY CENTER,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U131,BATH NY STATE DIVISION OF VETS,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U136,BROOKLYN NY STATE BENEFITS OFF,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U141,CASTLE POINT NY ST DEPT OF VET,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U142,CASTLE POINT QVPA PHONE PROJ,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U144,CASTLE DOD TREATMENT,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U145,EAST ORANGE US POST OFFICE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U147,LYONS US POST OFFICE,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U148,LYONS UNION OFFICE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U151,NYU,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U163,LEBANON PA COUNSELING SERVICE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U164,LEBANON YMCA,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U171,WILKES-COMMISSION ECONOMIC OPP,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U226,TUSKEGEE US POST OFFICE,U00R03,Reimbursable-Office Out- Leased Assets Revenue,
U228,COLUMBIA U OF SC MED SCHOOL,U00R03,Reimbursable-Office Out- Leased Assets Revenue,
U230,DUBLIN US POST OFFICE,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U233,BAY PINES US POST OFFICE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U239,W PALM BEACH AFGE UNION OFFICE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U240,HUNTINGTON MARSHALL U MED SCHL,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U244,MOUNTAIN HOME QUARTERS,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U246,MURFREESBORO CHILD CARE CENTER,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U249,CHILLICOTHE BASEBALL STADIUM,U00N04,Non-Reimb-Outdoor Rec Facilities Out- Leased Assets Revenue,
U250,CHILLICOTHE GOLF COURSE,U00N04,Non-Reimb-Outdoor Rec Facilities Out- Leased Assets Revenue,
U259,BATTLE CREEK GOLF COURSE (CTY),U00N04,Non-Reimb-Outdoor Rec Facilities Out- Leased Assets Revenue,
U260,BATTLE CREEK CHALLENGE PROGRAM,U00N01,Non-Reimbursable-Rooftop Out- Leased Assets Revenue,
U264,INDIANAPOLIS CREDIT UNION,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U277,COLUMBIA MEALS ON WHEELS,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U298,TEXAS TECH PHARM SCHOOL,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U328,PUDGET SOUND SEATTLE FCU,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U339,PALO ALTO PAIRE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U358,BLACK HILLS FT MEAD US PO,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U363,BLACK HILLS HOT SPRINGS MUSEUM,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U365,MINNEAPOLIS CHILD CARE CENTER,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U366,MINNEAPOLIS RADIOLOGY SCHOOL,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U367,MINNEAPOLIS ANESTHESIOLOGY SCH,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U368,OMAHA FEDERAL CREDIT UNION,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U369,OMAHA GROUNDS CONTRACTOR,U00R08,Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U383,FT HARRI P.O.,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U406,FAYET NW ARKANSAS FED CR UNION,U00R03,Reimbursable-Office Out- Leased Assets Revenue,
U412,NATIONAL GUARD,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U416,DAV 1ST FLOOR,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U424,BAY PINES CREDIT UNION,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U434,SAN DIEGO RESEARCH,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U437,PUBLIC HEALTH,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U438,US POST OFFICE,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U442,FIRST FRIENDS CHILD CARE CTR,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U444,FIRE STATION,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U476,SCHOOL DISTRICT PARKING,U00N05,Non-Reimbursable-Parking Out- Leased Assets Revenue,
U477,CITY BIKE PATH,U00N04,Non-Reimb-Outdoor Rec Facilities Out- Leased Assets Revenue,
U480,PACIFIC LEAGUE BASEBALL,U00N04,Non-Reimb-Outdoor Rec Facilities Out- Leased Assets Revenue,
U487,WILKES-BARRE COMM ECON OP,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U488,WILKES-BARRE BVA,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U489,WILKES-BARRE VBA,U00R05,Reimbursable-Parking Out- Leased Assets Revenue,
U490,NO CHICAGO NAVAL TRAIN CTR,U00R08,Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U510,BOSTON JP INFOMATICS,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U512,BOSTON JP CREDIT UNION,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U514,BOSTON JP VISUAL IMPAIR,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U515,BOSTON JP TAP,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U516,BOSTON JP BVARI,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U517,BOSTON JP PTSD,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U518,BOSTON JP MDRC,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U519,BOSTON JP MAVERICK,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U520,BOSTON JP WOMEN'S PTSD,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U535,WEST ROXBURY CREDIT UNION,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U542,COLUMBIA FORT JACKSON,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U556,564-CINGULAR,U00R01,Reimbursable-Rooftop Out- Leased Assets Revenue,
U558,564-SOUTHWEST PCS,U00R01,Reimbursable-Rooftop Out- Leased Assets Revenue,
U560,CINGULAR WIRELESS-V688S-1003,U00N01,Non-Reimbursable-Rooftop Out- Leased Assets Revenue,
U561,T-MOBILE - V688-1006,U00N01,Non-Reimbursable-Rooftop Out- Leased Assets Revenue,
U562,VERIZON WIRELESS - V688-1004,U00N01,Non-Reimbursable-Rooftop Out- Leased Assets Revenue,
U588,US PATENT AND TRADEMARK OFFICE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U613,HEAD START PROGRAM,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U616,LITTLE EAGLE CHILD CARE,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U633,AFGE LOCAL 2401,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U634,CHINLE,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U635,USPS,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U636,VSO,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U637,PRESCOTT FEDERAL CREDIT UNION,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U638,VA DESERT PACIFIC FEDERAL CRED,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U642,CPAC,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U646,BOSSIER FEDERAL CREDIT UNION,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U649,"VERIZON WIRELESS (VAW) LLC,",U00N01,Non-Reimbursable-Rooftop Out- Leased Assets Revenue,
U650,STATE PROPERTY COMM,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U651,FERRIS OPTICAL SHOP,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U653,ASSOCIATED CREDIT UNION,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U656,OFF OF OIG - STA 544,U00R03,Reimbursable-Office Out- Leased Assets Revenue,
U657,USC FITNESS CTR - STA 544,U00R08,Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U732,SUNMARK FEDERAL CREDIT UNION,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U741,CINGULAR WIRELESS,U00N01,Non-Reimbursable-Rooftop Out- Leased Assets Revenue,
U749,SUFFOLK COUNTY VA SERVICE AGEN,U00R03,Reimbursable-Office Out- Leased Assets Revenue,
U752,MINOT/DOL LAND PERMIT,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U756,SPRINT ROOFTOP ANTENNA,U00N01,Non-Reimbursable-Rooftop Out- Leased Assets Revenue,
U757,T-MOBILE ROOFTOP ANTENNA,U00N01,Non-Reimbursable-Rooftop Out- Leased Assets Revenue,
U760,WATER TOWER FOR SPRINT LICENSE,U00R08,Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U762,CHILDCARE CENTER-LEBANON PA,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U764,ALTOONA DAYCARE CENTER,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U767,FARGO VA FEDERAL CREDIT UNION,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U768,ALTOONA CREDIT UNION,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U770,BILOXI CREDIT UNION SOUTH,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U779,AMERICAN UNITED FED CRED UNION,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U780,CAPE MAY COUNTY CBOC,U00R08,Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U787,UNION OFFICE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U788,EMPOWER FEDERAL CRED UNION,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U789,BLUE STAR MOTHERS OF AMERICA,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U790,CCSD,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U792,SUNY CANTON DENTAL CLINIC,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U813,OUTLEASE FOR SIMULATION CENTER,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U822,NYSDVA,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U823,DAV CHAPTER 4 #1,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U826,TUBA CITY REGIONAL HEALTHCARE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U830,DAV,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U831,AMERICAN LEGION POST 694,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U832,"POW, LONG ISLAND CHAPTER",U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U836,SSVF,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U838,FEDERAL AVIATION ADMINISTRATIO,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U845,KRAIG GASSER,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U846,AJ RYDER,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U848,"KUPIEC FARMS, LLC",U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U849,J. WALTER ROOK & SONS,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U860,PRESCOTT HISTORICAL SOCIETY,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U863,VISN CONTRACTING,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U864,AFGE LOCAL UNION OFFICE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U865,NFFE LOCAL 181 UNION OFFICE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U866,VISN 23 OFFICE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U867,NETWORK  23 CONTRACTING OFFICE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U868,WACO HEALTH RESOURCE CENTER,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U869,VARO BUILDING SPACE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U870,CRISP OFFICE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U871,HOPI PTOC,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U872,KAYENTA PTOC,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U873,GA STATE PROP. COMM,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U874,GA STATE PROP. COMM. LAWRENCEV,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U875,FRIENDS OF MAGNOLIA CEMETERY,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U876,GA STATE PROP. COMM. CARROLTON,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U877,VA AGREEMENT BETWEEN THE OAL S,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U878,VA AGREEMENT BETWEEN THE OAL S,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U879,"RAPIDES SENIOR CITIZENS CENTER, INC.",U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U882,MILITARY ORDER OF PURPLE HEART,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U883,DISABLED AMERICAN VETERANS,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U884,USE OF SWIM POOL - NORTHPORT E,U00N04,Non-Reimb-Outdoor Rec Facilities Out- Leased Assets Revenue,
U885,USE OF SWIM POOL - NORTHPORT S,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U887,UMASS RESEARCH,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U888,CHEP TRANSITIONAL HOUSING,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U889,1150,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U890,KIRTLAND AFB,U00N05,Non-Reimbursable-Parking Out- Leased Assets Revenue,
U891,VERIZON WIRELESS,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U893,HINES DAY CARE,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U897,VICTORY INSURANCE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U898,CUSTER COUNTY FOOD BANK,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U899,MID-RIVERS TELEPHONE COOP,U00N01,Non-Reimbursable-Rooftop Out- Leased Assets Revenue,
U901,CUSTER COUNTY COMMUNITY TABLE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U902,CITY OF MILES CITY (RSVP),U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U903,BIG SKY CREMATION SERVICES,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U904,MONTANA HIGHWAY PATROL,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U905,MONTANA DVSN OF CRIMINAL INVES,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U907,ONE HEALTH MEDICAL SYSTEM,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U910,CREDIT UNION,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U911,CHILD CARE,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U914,TEACHING LEARNING CARING,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U916,CAMP ATTERBURY VA CLINIC,U00R08,Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U917,ST AUGUSTINE NC LODGE LEASE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U919,GOLF COURSE,U00N04,Non-Reimb-Outdoor Rec Facilities Out- Leased Assets Revenue,
U920,USACE FIELD OFFICE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U921,SMALL WORLD CHILD CARE CENTER,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U922,DOD - WOUNDED WARRIOR PROG,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U923,COMMUNICATIONS WORKERS OF AMER,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U924,HOUSTON NC GRAZING LEASE,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U925,FT. DETRICK CBOC LAND PERMIT,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U926,FIRST STEP DAYCARE,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U927,DOD WOUNDED WARRIOR,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U928,OCEAN RESEARCH,U00N02,Non-Reimbursable-Lab(s) Out- Leased Assets Revenue,
U929,LITTLE TYKES LEARNING CENTER,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U931,EMPLOYEE CHILD CARE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U933,MTI-MAVERIC,U00N04,Non-Reimb-Outdoor Rec Facilities Out- Leased Assets Revenue,
U934,DAV,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U935,AMERICAN LEGION,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U936,VFW,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U937,PDS CONSULTANTS,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U938,IRELAND ARMY HOSPITAL,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U941,ECHEVERRIA CATTLE COMPANY,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U942,LOS ANGELES CREDIT UNION,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U943,BATAVIA FARMS,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U945,CYPRESS HILLS LOCAL DEV. CORP.,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U946,CREDIT UNION,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U949,GRANITE STATE CREDIT UNION 2,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U950,HARRISBURG AREA COMM. COLL.,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U951,KIDS & COMPANY DAYCARE,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U952,"VA KIDS CENTER, INC",U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U953,APC REALTY EASEMENT,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U954,"SUITS TO CAREERS, INC",U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U955,CORNWALL LEBANON SCHOOL,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U956,UCLA WEST LA LEASE,U00N04,Non-Reimb-Outdoor Rec Facilities Out- Leased Assets Revenue,
U957,BRENTWOOD SCHOOL WEST LA LEASE,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U958,VETERANS' BARRINGTON PARK,U00N04,Non-Reimb-Outdoor Rec Facilities Out- Leased Assets Revenue,
U959,SARASOTA GRAZING LICENSE 87 ACRES,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U963,RALEIGH COUNTY FCU,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U964,IU-13 PROJECT SEARCH,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U965,1887 FUND,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U966,CORNWALL LEBANON ANTENNA,U00N01,Non-Reimbursable-Rooftop Out- Leased Assets Revenue,
U967,CHERYL ANDERSON SORENSEN CNTR,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U971,CLARK GRAZING LEASE 118 ACRES,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U972,SUNSTATE FCU,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U973,512A5-CCU OF MD,U00R08,Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U976,AT&T Right of Access (Easement) - Quantico NC,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U978,PLAINS INTERNET LLC,U00N01,Non-Reimbursable-Rooftop Out- Leased Assets Revenue,
U979,CAMP WHITE YOUNG MARINES,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U980,AMERICAN RED CROSS,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U981,SOUTHERN OREGON KENNEL CLUB,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U982,BIG PINES BOY SCOUTS,U00N04,Non-Reimb-Outdoor Rec Facilities Out- Leased Assets Revenue,
U983,VETERANS POWWOW,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U985,US NAVY SEA CADETS,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U987,ALBANY CBOC MARINE CORPS BASE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U988,AMERICAN LEGION AUX,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U989,AMERICAN LEGION,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U990,AMERICAN RED CROSS,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U991,AAMVETS,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
